Nome da Serventia
 1º CEJUSC DOS PARCEIROS
 2º CEJUSC DOS PARCEIROS
 3º CEJUSC DOS PARCEIROS
 ANAPOLIS - 1º CEJUSC VIRTUAL DO EXECUTIVO FISCAL
 APARECIDA DE GOIÂNIA - 3º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
" APARECIDA DE GOIÂNIA - UPJ JUIZADOS ESPECIAIS CÍVEIS 1º, 2º E 3º"
 CATALÃO - 1ª Vara Cível
 CATALÃO - 2ª Vara Cível
 CATALÃO - Vara de Fazendas Públicas e Registros Públicos
 CIDADE OCIDENTAL - 9º CEJUSC REGIONAL VIRTUAL DO INTERIOR
 FORMOSA - 2ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis
 FORMOSA - 8º CEJUSC REGIONAL VIRTUAL DO INTERIOR
 GOIANIA - 1ª Unidade de Processamento Jurisdicional (UPJ) dos Juizados Especiais Cíveis
 GOIANIA - 2ª Unidade de Processamento Jurisdicional (UPJ) dos Juizados Especiais Cíveis
 GOIANIA - 3ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis
 GOIANIA - 4ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis e Ambientais
 GOIANIA - 5ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis
 GOIANIA - 6ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis
 GOIANIA - 7ª Vara da Fazenda Pública Estadual
 GOIANIA - 8ª Vara da Fazenda Pública Estadual
 GOIANIA - Unidade de Processamento Jurisdicional (UPJ) das Varas da Fazenda Pública Estadual
 GOIANIA - Unidade de Processamento Jurisdicional (UPJ) das Varas da Fazenda Pública Municipal e de Registros Públicos
 JANDAIA - 3º CEJUSC REGIONAL VIRTUAL DO INTERIOR
 JATAÍ - Vara de Família e Sucessões
" JATAÍ - Vara de Fazendas Públicas, Registros Públicos e Infância e Juventude"
 NÚCLEO VIRTUAL DE CONCILIAÇÃO E MEDIAÇÃO DO INTERIOR
 PLANTÃO DA MACRO 01 - INFÂNCIA E JUVENTUDE
 RIO VERDE - 7º CEJUSC REGIONAL VIRTUAL DO INTERIOR
 TRINDADE - 2ª Vara Cível e Ambiental
 TRINDADE - 2º CEJUSC REGIONAL VIRTUAL DO INTERIOR
 TRINDADE - Vara de Família e Sucessões
 VALPARAÍSO DE GOIAS - 2º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
10ª Câmara Cível
11ª Câmara Cível
1ª Seção Criminal
1Câmara Cível
1Câmara Criminal
1Seção Cível
2ª Seção Criminal
2Câmara Cível
2Câmara Criminal
2Seção Cível
3ª Câmara Criminal
3ª Seção Cível
3Câmara Cível
4ª Câmara Criminal
4Câmara Cível
5Câmara Cível
6Câmara Cível
7ª Câmara Cível
8ª Câmara Cível
9ª Câmara Cível
ABADIANIA - Vara Judicial
"ACREÚNA - 1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)"
"ACREÚNA - 2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)"
"ÁGUAS LINDAS DE GOIÁS - 1ª Vara Cível, Família e Sucessões e da Infância e da Juventude"
"ÁGUAS LINDAS DE GOIÁS - 1ª VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUÇÕES PENAIS)"
"ÁGUAS LINDAS DE GOIÁS - 1ª VARA DE FAZENDAS PÚBLICAS, REGISTROS PÚBLICOS E AMBIENTAL"
ÁGUAS LINDAS DE GOIÁS - 1º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
"ÁGUAS LINDAS DE GOIÁS - 2ª Vara Cível, Família e Sucessões"
ÁGUAS LINDAS DE GOIÁS - 2ª Vara Criminal (crimes em geral)
"ÁGUAS LINDAS DE GOIÁS - 2ª VARA DAS FAZENDAS PÚBLICAS, REGISTROS PÚBLICOS E AMBIENTAL"
ÁGUAS LINDAS DE GOIÁS - 2º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ÁGUAS LINDAS DE GOIÁS - 3ª Vara Criminal (crimes em geral)
ÁGUAS LINDAS DE GOIÁS - JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER
ÁGUAS LINDAS DE GOIÁS - JUIZADO ESPECIAL CÍVEL E CRIMINAL
ALEXÂNIA - CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ALEXÂNIA - Vara Judicial
ALTO PARAISO DE GOIÁS - CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ALTO PARAISO DE GOIÁS - Vara Judicial
ALVORADA DO NORTE - Vara Judicial
ANAPOLIS - 1º Centro Judiciário de Solução de Conflitos e Cidadania - PROCON
ANAPOLIS - 4º CEJUSC REGIONAL VIRTUAL DO INTERIOR
ANAPOLIS - 5ª Vara Cível
ANAPOLIS - 5ª Vara Criminal
ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher
ANAPOLIS - UNIDADE DE PROCESSAMENTO JURISDICIONAL (UPJ) DAS VARAS CÍVEIS
ANAPOLIS - UNIDADE DE PROCESSAMENTO JURISDICIONAL (UPJ) DAS VARAS CRIMINAIS
ANAPOLIS - UNIDADE DE PROCESSAMENTO JURISDICIONAL (UPJ) DAS VARAS DE FAMÍLIA E SUCESSÕES
ANAPOLIS - Vara da Fazenda Pública Estadual
ANAPOLIS- 1ª Vara Cível
ANAPOLIS- 1ª Vara Criminal
ANAPOLIS- 1ª Vara de Família e Sucessões
ANAPOLIS- 1º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ANAPOLIS- 1º Juizado Especial Cível
ANAPOLIS- 1º Juizado Especial Criminal
ANAPOLIS- 2ª Vara Cível
ANAPOLIS- 2ª Vara Criminal
ANAPOLIS- 2ª Vara de Família e Sucessões
ANAPOLIS- 2º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ANAPOLIS- 2º Juizado Especial Cível
ANAPOLIS- 3ª Vara Cível
ANAPOLIS- 3ª Vara Criminal
ANAPOLIS- 3ª Vara de Família e Sucessões
ANAPOLIS- 3º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ANAPOLIS- 3º Juizado Especial Cível
ANAPOLIS- 4ª Vara Cível
ANAPOLIS- 4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais)
ANAPOLIS- 4º CEJUSC - PRÉ-PROCESSUAL
ANAPOLIS- 4º Juizado Especial Cível
ANAPOLIS- 5º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
ANAPOLIS- 6ª Vara Cível
ANAPOLIS- Juizado da Infância e da Juventude
"ANAPOLIS- Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb."
ANAPOLIS- Vara Regional de Execução Penal
"ANICUNS - 1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)"
"ANICUNS - 2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)"
ANICUNS - CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA
APARECIDA DE GOIÂNIA - 1ª Unidade de Processamento Judicial das Varas de Família e Sucessões
APARECIDA DE GOIÂNIA - 1ª Vara Cível
"APARECIDA DE GOIÂNIA - 1ª VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA, TRIBUNAL DO JÚRI E EXECUÇÕES PENAIS (PRIVATIVAS DE LIBERDADE EM REGIME ABERTO)"
APARECIDA DE GOIÂNIA - 1ª Vara de Família e Sucessões
APARECIDA DE GOIÂNIA - 1º CEJUSC - PRÉ-PROCESSUAL
APARECIDA DE GOIÂNIA - 1º CEJUSC REGIONAL VIRTUAL DO INTERIOR
APARECIDA DE GOIÂNIA - 1º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER
APARECIDA DE GOIÂNIA - 1º Juizado Especial Cível
APARECIDA DE GOIÂNIA - 1º Juizado Especial Criminal
APARECIDA DE GOIÂNIA - 2ª Unidade de Processamento Jurisdicional das Varas Criminais
APARECIDA DE GOIÂNIA - 2ª Vara Cível
APARECIDA DE GOIÂNIA - 2ª Vara Criminal
"APARECIDA DE GOIÂNIA - 2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)"
APARECIDA DE GOIÂNIA - 2ª Vara de Família e Sucessões
APARECIDA DE GOIÂNIA - 2º CEJUSC - PRÉ-PROCESSUAL
APARECIDA DE GOIÂNIA - 2º Juizado de Violência Doméstica e Familiar contra a Mulher
APARECIDA DE GOIÂNIA - 2º Juizado Especial Cível
APARECIDA DE GOIÂNIA - 3ª Unidade de Processamento Judicial das Varas Cíveis
APARECIDA DE GOIÂNIA - 3ª Vara Cível
APARECIDA DE GOIÂNIA - 3ª Vara Criminal
APARECIDA DE GOIÂNIA - 3ª Vara de Família e Sucessões
APARECIDA DE GOIÂNIA - 3º Juizado Especial Cível
APARECIDA DE GOIÂNIA - 4ª Vara Cível
APARECIDA DE GOIÂNIA - 4ª Vara Criminal
APARECIDA DE GOIÂNIA - 5ª Vara Cível
APARECIDA DE GOIÂNIA - 6ª Vara Cível
APARECIDA DE GOIÂNIA - Juizado da Infância e da Juventude
APARECIDA DE GOIÂNIA - Unidade de Processamento Jurisdicional dos Juizados de Violência Doméstica e Familiar Contra a Mulher
